"marca_tiempo";"hora_solar";"ocupantes_conteo_robus3";"temperatura_exterior";"temperatura_interior";"energia_agua_refrigerada";"radiacion_global_fachada";"marca_tiempo_1";"marca_tiempo_2";"marca_tiempo_3";"marca_tiempo_4";"marca_tiempo_5";"marca_tiempo_6";"marca_tiempo_7";"marca_tiempo_8";"marca_tiempo_9";"marca_tiempo_10";"marca_tiempo_11";"marca_tiempo_12";"hora_solar_1";"hora_solar_2";"hora_solar_3";"hora_solar_4";"hora_solar_5";"hora_solar_6";"hora_solar_7";"hora_solar_8";"hora_solar_9";"hora_solar_10";"hora_solar_11";"hora_solar_12";"ocupantes_conteo_robus3_1";"ocupantes_conteo_robus3_2";"ocupantes_conteo_robus3_3";"ocupantes_conteo_robus3_4";"ocupantes_conteo_robus3_5";"ocupantes_conteo_robus3_6";"ocupantes_conteo_robus3_7";"ocupantes_conteo_robus3_8";"ocupantes_conteo_robus3_9";"ocupantes_conteo_robus3_10";"ocupantes_conteo_robus3_11";"ocupantes_conteo_robus3_12";"temperatura_exterior_1";"temperatura_exterior_2";"temperatura_exterior_3";"temperatura_exterior_4";"temperatura_exterior_5";"temperatura_exterior_6";"temperatura_exterior_7";"temperatura_exterior_8";"temperatura_exterior_9";"temperatura_exterior_10";"temperatura_exterior_11";"temperatura_exterior_12";"temperatura_interior_1";"temperatura_interior_2";"temperatura_interior_3";"temperatura_interior_4";"temperatura_interior_5";"temperatura_interior_6";"temperatura_interior_7";"temperatura_interior_8";"temperatura_interior_9";"temperatura_interior_10";"temperatura_interior_11";"temperatura_interior_12";"energia_agua_refrigerada_1";"energia_agua_refrigerada_2";"energia_agua_refrigerada_3";"energia_agua_refrigerada_4";"energia_agua_refrigerada_5";"energia_agua_refrigerada_6";"energia_agua_refrigerada_7";"energia_agua_refrigerada_8";"energia_agua_refrigerada_9";"energia_agua_refrigerada_10";"energia_agua_refrigerada_11";"energia_agua_refrigerada_12";"radiacion_global_fachada_1";"radiacion_global_fachada_2";"radiacion_global_fachada_3";"radiacion_global_fachada_4";"radiacion_global_fachada_5";"radiacion_global_fachada_6";"radiacion_global_fachada_7";"radiacion_global_fachada_8";"radiacion_global_fachada_9";"radiacion_global_fachada_10";"radiacion_global_fachada_11";"radiacion_global_fachada_12"
2021-09-07 00:30:00;2021-09-06 23:27:05;0;26,1338748916667;25,4616584766667;0;0,50272127;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2021-09-07 01:00:00;2021-09-06 23:57:05;0;26,3333327;25,1751569116667;0;3,70074341541719e-17;1630967400;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1630963625.21192;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;26.1338748916667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;25.4616584766667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.50272127;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2021-09-07 01:30:00;2021-09-07 00:27:05;0;26,4669357933333;25,23271815;0;3,70074341541719e-17;1630969200;1630967400;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1630965425.21192;1630963625.21192;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;26.3333327;26.1338748916667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;25.1751569116667;25.4616584766667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.70074341541719e-17;0.50272127;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2021-09-07 02:00:00;2021-09-07 00:57:05;0;26,6169373183333;25,2167263033333;0;0,00272131750000004;1630971000;1630969200;1630967400;NA;NA;NA;NA;NA;NA;NA;NA;NA;1630967225.21192;1630965425.21192;1630963625.21192;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;26.4669357933333;26.3333327;26.1338748916667;NA;NA;NA;NA;NA;NA;NA;NA;NA;25.23271815;25.1751569116667;25.4616584766667;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.70074341541719e-17;3.70074341541719e-17;0.50272127;NA;NA;NA;NA;NA;NA;NA;NA;NA
2021-09-07 02:30:00;2021-09-07 01:27:05;0;26,56666692;25,21947225;0;3,70074341541719e-17;1630972800;1630971000;1630969200;1630967400;NA;NA;NA;NA;NA;NA;NA;NA;1630969025.21192;1630967225.21192;1630965425.21192;1630963625.21192;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;26.6169373183333;26.4669357933333;26.3333327;26.1338748916667;NA;NA;NA;NA;NA;NA;NA;NA;25.2167263033333;25.23271815;25.1751569116667;25.4616584766667;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;0.00272131750000004;3.70074341541719e-17;3.70074341541719e-17;0.50272127;NA;NA;NA;NA;NA;NA;NA;NA
2021-09-07 03:00:00;2021-09-07 01:57:05;0;26,53333346;25,2498483666667;0;0,327917436833333;1630974600;1630972800;1630971000;1630969200;1630967400;NA;NA;NA;NA;NA;NA;NA;1630970825.21192;1630969025.21192;1630967225.21192;1630965425.21192;1630963625.21192;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;26.56666692;26.6169373183333;26.4669357933333;26.3333327;26.1338748916667;NA;NA;NA;NA;NA;NA;NA;25.21947225;25.2167263033333;25.23271815;25.1751569116667;25.4616584766667;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;3.70074341541719e-17;0.00272131750000004;3.70074341541719e-17;3.70074341541719e-17;0.50272127;NA;NA;NA;NA;NA;NA;NA
2021-09-07 03:30:00;2021-09-07 02:27:05;0;26,68333403;25,70155239;0;0,666666580166667;1630976400;1630974600;1630972800;1630971000;1630969200;1630967400;NA;NA;NA;NA;NA;NA;1630972625.21192;1630970825.21192;1630969025.21192;1630967225.21192;1630965425.21192;1630963625.21192;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;26.53333346;26.56666692;26.6169373183333;26.4669357933333;26.3333327;26.1338748916667;NA;NA;NA;NA;NA;NA;25.2498483666667;25.21947225;25.2167263033333;25.23271815;25.1751569116667;25.4616584766667;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0.327917436833333;3.70074341541719e-17;0.00272131750000004;3.70074341541719e-17;3.70074341541719e-17;0.50272127;NA;NA;NA;NA;NA;NA
2021-09-07 04:00:00;2021-09-07 02:57:05;0;26,5;26,5256071083333;0;0,16935205;1630978200;1630976400;1630974600;1630972800;1630971000;1630969200;1630967400;NA;NA;NA;NA;NA;1630974425.21192;1630972625.21192;1630970825.21192;1630969025.21192;1630967225.21192;1630965425.21192;1630963625.21192;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;26.68333403;26.53333346;26.56666692;26.6169373183333;26.4669357933333;26.3333327;26.1338748916667;NA;NA;NA;NA;NA;25.70155239;25.2498483666667;25.21947225;25.2167263033333;25.23271815;25.1751569116667;25.4616584766667;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;0.666666580166667;0.327917436833333;3.70074341541719e-17;0.00272131750000004;3.70074341541719e-17;3.70074341541719e-17;0.50272127;NA;NA;NA;NA;NA
2021-09-07 04:30:00;2021-09-07 03:27:05;0;26,3505436583333;26,7034845333333;0;0,0027239798333333;1630980000;1630978200;1630976400;1630974600;1630972800;1630971000;1630969200;1630967400;NA;NA;NA;NA;1630976225.21192;1630974425.21192;1630972625.21192;1630970825.21192;1630969025.21192;1630967225.21192;1630965425.21192;1630963625.21192;NA;NA;NA;NA;0;0;0;0;0;0;0;0;NA;NA;NA;NA;26.5;26.68333403;26.53333346;26.56666692;26.6169373183333;26.4669357933333;26.3333327;26.1338748916667;NA;NA;NA;NA;26.5256071083333;25.70155239;25.2498483666667;25.21947225;25.2167263033333;25.23271815;25.1751569116667;25.4616584766667;NA;NA;NA;NA;0;0;0;0;0;0;0;0;NA;NA;NA;NA;0.16935205;0.666666580166667;0.327917436833333;3.70074341541719e-17;0.00272131750000004;3.70074341541719e-17;3.70074341541719e-17;0.50272127;NA;NA;NA;NA
2021-09-07 05:00:00;2021-09-07 03:57:05;0;26,34999943;26,845786095;0;-3,5850951836854e-17;1630981800;1630980000;1630978200;1630976400;1630974600;1630972800;1630971000;1630969200;1630967400;NA;NA;NA;1630978025.21192;1630976225.21192;1630974425.21192;1630972625.21192;1630970825.21192;1630969025.21192;1630967225.21192;1630965425.21192;1630963625.21192;NA;NA;NA;0;0;0;0;0;0;0;0;0;NA;NA;NA;26.3505436583333;26.5;26.68333403;26.53333346;26.56666692;26.6169373183333;26.4669357933333;26.3333327;26.1338748916667;NA;NA;NA;26.7034845333333;26.5256071083333;25.70155239;25.2498483666667;25.21947225;25.2167263033333;25.23271815;25.1751569116667;25.4616584766667;NA;NA;NA;0;0;0;0;0;0;0;0;0;NA;NA;NA;0.0027239798333333;0.16935205;0.666666580166667;0.327917436833333;3.70074341541719e-17;0.00272131750000004;3.70074341541719e-17;3.70074341541719e-17;0.50272127;NA;NA;NA
2021-09-07 05:30:00;2021-09-07 04:27:05;0;26,31666597;27,233207385;0;-3,5850951836854e-17;1630983600;1630981800;1630980000;1630978200;1630976400;1630974600;1630972800;1630971000;1630969200;1630967400;NA;NA;1630979825.21192;1630978025.21192;1630976225.21192;1630974425.21192;1630972625.21192;1630970825.21192;1630969025.21192;1630967225.21192;1630965425.21192;1630963625.21192;NA;NA;0;0;0;0;0;0;0;0;0;0;NA;NA;26.34999943;26.3505436583333;26.5;26.68333403;26.53333346;26.56666692;26.6169373183333;26.4669357933333;26.3333327;26.1338748916667;NA;NA;26.845786095;26.7034845333333;26.5256071083333;25.70155239;25.2498483666667;25.21947225;25.2167263033333;25.23271815;25.1751569116667;25.4616584766667;NA;NA;0;0;0;0;0;0;0;0;0;0;NA;NA;-3.5850951836854e-17;0.0027239798333333;0.16935205;0.666666580166667;0.327917436833333;3.70074341541719e-17;0.00272131750000004;3.70074341541719e-17;3.70074341541719e-17;0.50272127;NA;NA
2021-09-07 06:00:00;2021-09-07 04:57:05;0;26,29999924;27,3421192166667;0;-3,5850951836854e-17;1630985400;1630983600;1630981800;1630980000;1630978200;1630976400;1630974600;1630972800;1630971000;1630969200;1630967400;NA;1630981625.21192;1630979825.21192;1630978025.21192;1630976225.21192;1630974425.21192;1630972625.21192;1630970825.21192;1630969025.21192;1630967225.21192;1630965425.21192;1630963625.21192;NA;0;0;0;0;0;0;0;0;0;0;0;NA;26.31666597;26.34999943;26.3505436583333;26.5;26.68333403;26.53333346;26.56666692;26.6169373183333;26.4669357933333;26.3333327;26.1338748916667;NA;27.233207385;26.845786095;26.7034845333333;26.5256071083333;25.70155239;25.2498483666667;25.21947225;25.2167263033333;25.23271815;25.1751569116667;25.4616584766667;NA;0;0;0;0;0;0;0;0;0;0;0;NA;-3.5850951836854e-17;-3.5850951836854e-17;0.0027239798333333;0.16935205;0.666666580166667;0.327917436833333;3.70074341541719e-17;0.00272131750000004;3.70074341541719e-17;3.70074341541719e-17;0.50272127;NA
2021-09-07 06:30:00;2021-09-07 05:27:05;0;26,1000045116667;27,2520367333334;0;-3,5850951836854e-17;1630987200;1630985400;1630983600;1630981800;1630980000;1630978200;1630976400;1630974600;1630972800;1630971000;1630969200;1630967400;1630983425.21192;1630981625.21192;1630979825.21192;1630978025.21192;1630976225.21192;1630974425.21192;1630972625.21192;1630970825.21192;1630969025.21192;1630967225.21192;1630965425.21192;1630963625.21192;0;0;0;0;0;0;0;0;0;0;0;0;26.29999924;26.31666597;26.34999943;26.3505436583333;26.5;26.68333403;26.53333346;26.56666692;26.6169373183333;26.4669357933333;26.3333327;26.1338748916667;27.3421192166667;27.233207385;26.845786095;26.7034845333333;26.5256071083333;25.70155239;25.2498483666667;25.21947225;25.2167263033333;25.23271815;25.1751569116667;25.4616584766667;0;0;0;0;0;0;0;0;0;0;0;0;-3.5850951836854e-17;-3.5850951836854e-17;-3.5850951836854e-17;0.0027239798333333;0.16935205;0.666666580166667;0.327917436833333;3.70074341541719e-17;0.00272131750000004;3.70074341541719e-17;3.70074341541719e-17;0.50272127
2021-09-07 07:00:00;2021-09-07 05:57:05;0;26,3997252783333;26,3380746833333;0;4,83353587016667;1630989000;1630987200;1630985400;1630983600;1630981800;1630980000;1630978200;1630976400;1630974600;1630972800;1630971000;1630969200;1630985225.21192;1630983425.21192;1630981625.21192;1630979825.21192;1630978025.21192;1630976225.21192;1630974425.21192;1630972625.21192;1630970825.21192;1630969025.21192;1630967225.21192;1630965425.21192;0;0;0;0;0;0;0;0;0;0;0;0;26.1000045116667;26.29999924;26.31666597;26.34999943;26.3505436583333;26.5;26.68333403;26.53333346;26.56666692;26.6169373183333;26.4669357933333;26.3333327;27.2520367333334;27.3421192166667;27.233207385;26.845786095;26.7034845333333;26.5256071083333;25.70155239;25.2498483666667;25.21947225;25.2167263033333;25.23271815;25.1751569116667;0;0;0;0;0;0;0;0;0;0;0;0;-3.5850951836854e-17;-3.5850951836854e-17;-3.5850951836854e-17;-3.5850951836854e-17;0.0027239798333333;0.16935205;0.666666580166667;0.327917436833333;3.70074341541719e-17;0.00272131750000004;3.70074341541719e-17;3.70074341541719e-17
