timestamp;voc [ppb];sound_pressure_level [dba];indoor_relative_humidity [%];air_temperature [Celsius];illuminance [lux];pm2.5 [mu_g/m3];indoor_co2 [ppm];wifi_connected_devices [number];ceiling_fan_energy [kWh];lighting_energy [kWh];plug_load_energy [kWh];chilled_water_energy [kWh];ahu_fan_energy [kWh];supply_air_flow [CMH];damper_position [%];temp_setpoint [Celsius];cooling_coil_valve_position [%];cooling_coil_valve_command [%];ahu_fan_speed [Hz];offcoil_air_temp [Celsius];offcoil_temp_setpoint [Celsius];pressure_across_filter [Pa];supply_air_humidity [%];supply_air_pressure [Pa];supply_air_temperature [Celsius];baromatic_pressure [hPa];dry_bulb_temp [Celsius];global_horizontal_solar_radiation [W/m2];wind_direction [Degree];wind_speed [m/s];outdoor_co2 [ppm];outdoor_relative_humidity [%];occupant_presence [binary];occupant_count [number]
2021-09-07 01:10 +08:00;20;60,38333511;60,35566711;27,05966759;97,92333221;3,033333302;452,3333435;1;0,00293;0,0011597;0,046875;0;0,01465;0;100;25;1,611046553;0;0;23,86741638;16,5;0;93,08337402;0;25,40390587;1004,799988;26,29999924;0;63,04958344;0,7950176;462,7025757;96,80000305;0;0
2021-09-07 01:15 +08:00;20;59,36071396;60,09607315;27,05107117;106,7821426;2,678571463;462;1;0,00293;0,0011596;0,046875;0;0,01562;0;100;25;1,611046553;0;0;24,01683426;16,5;0;93,08337402;0;25,40390587;1004,700012;26,39999962;0;75,96520233;0,598380387;462,7025146;96,20485687;0;0
2021-09-07 01:20 +08:00;20;60,5724144;59,70965576;27,0651722;108,1931;2,517241478;469,2758484;1;0,002929;0,0011597;0,046875;0;0,01465;0;100;25;1,611046553;0;0;24,1687355;16,5;0;93,08337402;0;25,40390587;1004,599976;26,39999962;0;91,66123199;0,419999987;462,1092224;96;0;0
2021-09-07 01:25 +08:00;20;59,18333435;59,47433472;27,03100014;110,5599976;2,633333445;472,5333252;4;0,00293;0,0011597;0,046875;0;0,01563;0;100;25;1,611046553;0;0;24,32063675;16,5;0;93,08337402;0;25,63883209;1004,599976;26,39999962;0;100,954422;0,456907123;463,089386;96,19999695;0;0
2021-09-07 01:30 +08:00;20;58,89666748;59,31066513;27,02300072;115,8199997;2,933333397;477,8666687;4;0,00293;0,0012207;0,047851;0;0,01562;0;100;25;1,611046553;0;0;24,47253799;16,5;0;93,08337402;0;25,87998009;1004,700012;26,40161514;0;78,27254486;0,222422689;462,8895264;96,5;0;0
2021-09-07 01:35 +08:00;20;59,16333389;59,00299835;27,04599953;124,1566696;2,666666746;475,9666748;3;0,002685;0,0011596;0,046875;0;0,01465;0;100;25;1,611046553;0;0;24,47253799;16,5;0;93,08337402;0;25,98644257;1004,599976;26,5;0;93,50069427;0,593814075;462,3352661;96,79837799;0;0
2021-09-07 01:40 +08:00;20;58,90333176;58,72433472;27,03633308;122,1800003;2,5;467,9666748;1;0,00293;0,0011597;0,046875;0;0,01563;0;100;25;1,611046553;0;0;24,47253799;16,5;0;93,08337402;0;25,98644257;1004,599976;26,5;0;91,47554016;0,372424573;463,4892578;97;0;0
2021-09-07 01:45 +08:00;20;59,06999969;58,55666733;27,01499939;118,0333328;2,133333445;464;1;0,00293;0,0011597;0,046875;0;0,01464;0;100;25;1,611046553;0;0;24,47253799;16,5;0;93,08337402;0;25,87438774;1004,599976;26,60000038;0;109,3006058;0,479999989;462,6983032;97,1967392;0;0
2021-09-07 01:50 +08:00;20;59,20000076;58,54166794;26,99900055;110,3733368;2,200000048;459,2000122;1;0,002929;0,0011596;0,046875;0;0,01563;0;100;25;1,611046553;0;0;24,47253799;16,5;0;93,08337402;0;25,97886086;1004,400024;26,60000038;0;101,9088821;0,360000014;463,8973389;97,5;0;0
2021-09-07 01:55 +08:00;20;57,31999969;58,7519989;26,96133423;111,0733337;2,299999952;458,3999939;1;0,00293;0,0011597;0,046875;0;0,01465;0;100;25;1,611046553;0;0;24,62446976;16,5;0;93,08337402;0;26,08903885;1004,400024;26,70000076;0;11,19999981;0,059999999;463,1089478;97,79837036;0;0
